01A,2,2x5,abstrakt,Vodafone,160.648.000
02A,2,2x5,abstrakt,Telekom,160.701.000
03A,2,2x5,abstrakt,1und1 DRI,162.585.000
04A,2,2x5,abstrakt,Telekom,165.541.000
05A,2,2x5,abstrakt,Telekom,163.035.000
06A,2,2x5,abstrakt,Vodafone,159.025.000
07A,2,2x5,abstrakt,Vodafone,161.028.000
08A,2,2x5,abstrakt,TEF DE,160.918.000
09A,2,2x5,abstrakt,1und1 DRI,129.347.000,2026
10A,2,2x5,abstrakt,1und1 DRI,130.258.000,2026
11A,2,2x5,abstrakt,TEF DE,128.124.000,2026
12A,2,2x5,abstrakt,Vodafone,131.567.000,2026
01K,3.6,1x20,konkret,Vodafone,2.984.000
02A,3.6,1x10,abstrakt,TEF DE,64.776.000
03A,3.6,1x10,abstrakt,1und1 DRI,90.314.000
04A,3.6,1x10,abstrakt,TEF DE,96.567.000
05A,3.6,1x10,abstrakt,TEF DE,62.522.000
06A,3.6,1x10,abstrakt,Vodafone,52.640.000
07A,3.6,1x10,abstrakt,1und1 DRI,77.886.000
08A,3.6,1x10,abstrakt,TEF DE,64.887.000
09A,3.6,1x10,abstrakt,TEF DE,64.867.000
10A,3.6,1x10,abstrakt,Telekom,54.252.000
11A,3.6,1x10,abstrakt,1und1 DRI,89.003.000
12A,3.6,1x10,abstrakt,1und1 DRI,91.362.000
13A,3.6,1x10,abstrakt,Telekom,54.595.000
14A,3.6,1x10,abstrakt,TEF DE,64.848.000
15A,3.6,1x10,abstrakt,Telekom,54.600.000
16A,3.6,1x10,abstrakt,TEF DE,64.728.000
17A,3.6,1x10,abstrakt,Vodafone,55.752.000
18A,3.6,1x10,abstrakt,Vodafone,55.202.000
19A,3.6,1x10,abstrakt,1und1 DRI,87.540.000
20A,3.6,1x10,abstrakt,1und1 DRI,87.540.000
21A,3.6,1x10,abstrakt,Vodafone,55.643.000
22A,3.6,1x10,abstrakt,Telekom,53.583.000
23A,3.6,1x10,abstrakt,Telekom,53.583.000
24A,3.6,1x10,abstrakt,Telekom,53.546.000
25A,3.6,1x10,abstrakt,Telekom,53.546.000
26A,3.6,1x10,abstrakt,1und1 DRI,91.172.000
27A,3.6,1x10,abstrakt,1und1 DRI,88.810.000
28A,3.6,1x10,abstrakt,Vodafone,51.351.000
29K,3.6,1x10,konkret,Telekom,85.802.000
